Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Halloween 5;1989;R;96;Horror, Thriller;Dominique Othenin-Girard;John Carpenter (characters), Debra Hill (characters), Michael Jacobs, Dominique Othenin-Girard, Shem Bitterman;Donald Pleasence, Danielle Harris, Ellie Cornell, Beau Starr;One year after the events of Halloween 4: The Return of Michael Myers (1988), the Shape returns to Haddonfield once again in an attempt to kill his now-mute niece.;English;USA;5.2;NULL;Trancas International Films Inc.
Licence to Kill;1989;PG-13;133;Action, Adventure, Thriller;John Glen;Michael G. Wilson, Richard Maibaum, Ian Fleming (characters);Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto;James Bond goes rogue and sets off to unleash vengeance on a drug lord who tortured his best friend, a C.I.A. agent, and left him for dead and murdered his bride after he helped capture him.;English, Spanish;UK, USA;6.6;NULL;United Artists
We're No Angels;1989;PG-13;106;Comedy, Crime;Neil Jordan;David Mamet, Ranald MacDougall (earlier screenplay), Albert Husson (play), Sam Spewack (play), Bella Spewack (play);Robert De Niro, Sean Penn, Demi Moore, Hoyt Axton;Two escaped cons only prayer to escape is to pass themselves off as priests and pass by the police blockade at the border into the safety of Canada.;English, French, Latin;USA;6.0;NULL;Paramount Home Video
Sea of Love;1989;R;113;Crime, Drama, Mystery;Harold Becker;Richard Price;Al Pacino, Ellen Barkin, John Goodman, Michael Rooker;A detective investigating a series of murders becomes involved with a woman who may be the culprit.;English;USA;6.8;NULL;MCA Universal Home Video
Glory;1989;R;122;Biography, Drama, History;Edward Zwick;Kevin Jarre (screenplay), Lincoln Kirstein (book), Peter Burchard (book), Robert Gould Shaw (letters);Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman;Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.;English;USA;7.9;NULL;TriStar
Bill & Ted's Excellent Adventure;1989;PG;90;Adventure, Comedy, Music;Stephen Herek;Chris Matheson, Ed Solomon;Keanu Reeves, Alex Winter, George Carlin, Terry Camilleri;Two seemingly dumb teens struggle to prepare a historical presentation with the help of a time machine.;English, French, German, Greek,  Ancient (to 1453);USA;6.9;NULL;Orion Pictures Corporation
Road House;1989;R;114;Action, Thriller;Rowdy Herrington;R. Lance Hill (story), R. Lance Hill (screenplay), Hilary Henkin (screenplay);Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara;A tough bouncer is hired to tame a dirty bar.;English, Portuguese;USA;6.5;NULL;United Artists
Roger & Me;1989;R;91;Documentary;Michael Moore;Michael Moore;Michael Moore, Roger B. Smith, Rhonda Britton, Fred Ross;Director Michael Moore pursues GM CEO Roger B. Smith to confront him about the harm he did to Flint, Michigan with his massive downsizing.;English;USA;7.5;NULL;Warner Home Video
Pet Sematary;1989;R;103;Horror, Thriller;Mary Lambert;Stephen King (novel), Stephen King (screenplay);Dale Midkiff, Fred Gwynne, Denise Crosby, Brad Greenquist;Behind a young family's home in Maine is a terrible secret that holds the power of life after death. When tragedy strikes, the threat of that power soon becomes undeniable.;English;USA;6.6;NULL;Paramount Home Video
When Harry Met Sally...;1989;R;96;Comedy, Drama, Romance;Rob Reiner;Nora Ephron;Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby;Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.;English;USA;7.6;NULL;Columbia Pictures
Do the Right Thing;1989;R;120;Comedy, Drama;Spike Lee;Spike Lee;Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson;On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.;English, Italian, Spanish, Korean;USA;7.9;NULL;Universal Pictures
UHF;1989;PG-13;97;Comedy, Drama;Jay Levey;'Weird Al' Yankovic, Jay Levey;'Weird Al' Yankovic, Victoria Jackson, Kevin McCarthy, Michael Richards;An unemployed visionary becomes the manager of a local public station. The station becomes a success, with all sorts of hilarious sight gags and wacky humor.;English;USA;7.0;NULL;Orion Pictures Corporation
Tango & Cash;1989;R;104;Action, Comedy, Crime;Andrey Konchalovskiy, Albert Magnoli;Randy Feldman;Sylvester Stallone, Kurt Russell, Teri Hatcher, Jack Palance;Two cops are framed and must clear their names.;English;USA;6.3;NULL;Warner Bros. Pictures
Back to the Future Part II;1989;PG;108;Adventure, Comedy, Sci-Fi;Robert Zemeckis;Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay);Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson;After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.;English;USA;7.8;NULL;Universal Pictures
Black Rain;1989;R;125;Action, Crime, Thriller;Ridley Scott;Craig Bolotin, Warren Lewis;Michael Douglas, Andy Garcia, Ken Takakura, Kate Capshaw;Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.;English, Japanese;USA;6.6;NULL;Paramount Home Video
Sex, Lies, and Videotape;1989;R;100;Drama;Steven Soderbergh;Steven Soderbergh;James Spader, Andie MacDowell, Peter Gallagher, Laura San Giacomo;A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.;English;USA;7.2;NULL;Sony Pictures Home Entertainment
The Blood of Heroes;1989;R;90;Action, Sci-Fi, Sport;David Webb Peoples;David Webb Peoples;Rutger Hauer, Delroy Lindo, Anna Katarina, Vincent D'Onofrio;"A Mad Max-esque post apocalyptic world provides the backdrop for a brutal, futuristic game resembling football. Rutger Hauer plays a disgraced former star leading a rag tag group of """"...";English;Australia, USA;6.5;NULL;New Line Cinema
Batman;1989;PG-13;126;Action, Adventure;Tim Burton;Bob Kane (Batman characters), Sam Hamm (story), Sam Hamm (screenplay), Warren Skaaren (screenplay);Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl;The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.;English, French;USA, UK;7.6;NULL;Warner Bros. Pictures
The Toxic Avenger Part II;1989;R;102;Action, Comedy, Horror;Michael Herz, Lloyd Kaufman;Lloyd Kaufman (story), Gay Partington Terry (screenplay), Lloyd Kaufman (screenplay), Pericles Lewnes (additional material), Fumio Furuya (additional material), Yoshiko Miyamoto (additional material), Andrew Wolk (additional material), Phil Rivo (additional material);Ron Fazio, John Altamura, Phoebe Legere, Rick Collins;The Toxic Avenger is tricked into traveling to Tokyo to search for his estranged father, leaving Tromaville open to complete domination by an evil corporation.;English, Japanese, Russian;USA;5.1;NULL;Lorimar Productions
Troop Beverly Hills;1989;PG;105;Adventure, Comedy;Jeff Kanew;Ava Ostern Fries (story), Pamela Norris (screenplay), Margaret Oberman (screenplay);Shelley Long, Craig T. Nelson, Betty Thomas, Mary Gross;A soon to be divorced Beverly Hills socialite is determined to prove to her husband and herself that she can finish what she starts out to do, by becoming a den mother to a troop of Beverly Hills Girl Scouts.;English;USA;5.5;NULL;Weintraub Entertainment Group
Indiana Jones and the Last Crusade;1989;PG-13;127;Action, Adventure, Fantasy;Steven Spielberg;Jeffrey Boam (screenplay), George Lucas (story), Menno Meyjes (story), George Lucas (characters), Philip Kaufman (characters);Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody;When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps to stop the Nazis from getting their hands on the Holy Grail first.;English, German, Greek, Arabic;USA;8.3;NULL;Paramount Pictures
Driving Miss Daisy;1989;PG;99;Drama;Bruce Beresford;Alfred Uhry (screenplay), Alfred Uhry (play);Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone;An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.;English, Hebrew;USA;7.4;NULL;Fathom Events
Friday the 13th Part VIII: Jason Takes Manhattan;1989;R;100;Adventure, Horror, Thriller;Rob Hedden;Rob Hedden, Victor Miller (characters);Todd Caldecott, Tiffany Paulsen, Tim Mirkovich, Kane Hodder;A boat of graduating high school students bound for Manhattan pulls Jason Voorhees along for the ride. Look out, New York - here comes Hell in a hockey mask.;English;USA, Canada;4.6;NULL;Paramount Home Video
Maine Pyar Kiya;1989;NULL;192;Drama, Family, Musical;Sooraj R. Barjatya;S.M. Ahale (story), Sooraj R. Barjatya (dialogue), Sooraj R. Barjatya (screenplay);Salman Khan, Bhagyashree, Alok Nath, Rajeev Verma;Karan (Alok Nath) lives in a small house with his only daughter, Suman (Bhagyashree). He decides to travel overseas in Dubai, in the Persian Gulf, so that he can accumulate enough wealth to...;Hindi;India;7.4;NULL;Rajshri Media
Total Recall;1990;R;113;Action, Sci-Fi, Thriller;Paul Verhoeven;"Philip K. Dick (short story """"We Can Remember It For You Wholesale""""), Ronald Shusett (screen story), Dan O'Bannon (screen story), Jon Povill (screen story), Ronald Shusett (screenplay), Dan O'Bannon (screenplay), Gary Goldman (screenplay)";Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox;When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?;English;USA;7.5;NULL;Rialto Pictures
Shipwrecked;1990;PG;92;Adventure, Family;Nils Gaup;O.V. Falck-Ytter (book), Nils Gaup (screenplay), Bob Foss (screenplay), Greg Dinner (screenplay), Nick Thiel (screenplay);Stian Smestad, Gabriel Byrne, Louisa Milwood-Haigh, Trond Peter Stamsø Munch;A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.;English;Norway, Sweden, USA;6.7;NULL;Filmkameratene AS
Marilyn Hotchkiss' Ballroom Dancing and Charm School;1990;NULL;34;Musical, Short, Family;Randall Miller;Randall Miller;Elden Henson, Kate Mulligan, William Hurt, Teri Johnston;Worse than having your glove stolen, worse than Chinese water torture, even worse than the earth spinning off its axis and careening into Mars, your mom enrolls you in Marilyn Hotchkiss' ...;English;USA;7.1;NULL;NULL
The Hunt for Red October;1990;PG;135;Action, Adventure, Thriller;John McTiernan;Tom Clancy (novel), Larry Ferguson (screenplay), Donald Stewart (screenplay);Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill;In November 1984, the Soviet Union's best submarine captain in their newest sub violates orders and heads for the USA. Is he trying to defect or to start a war?;English, Russian;USA;7.6;NULL;Paramount Pictures
Mo' Better Blues;1990;R;130;Drama, Music, Romance;Spike Lee;Spike Lee;Denzel Washington, Spike Lee, Wesley Snipes, Giancarlo Esposito;Jazz trumpeter Bleek Gilliam makes questionable decisions in his professional and romantic lives.;English;USA;6.6;NULL;MCA Universal Home Video
Metropolitan;1990;PG-13;98;Comedy, Drama, Romance;Whit Stillman;Whit Stillman;Carolyn Farina, Edward Clements, Chris Eigeman, Taylor Nichols;A group of young upper-class Manhattanites are blithely passing through the gala debutante season, when an unusual outsider joins them and stirs them up.;English;USA;7.5;NULL;Rialto Pictures
Die Hard 2;1990;R;124;Action, Thriller;Renny Harlin;Walter Wager (novel), Steven E. de Souza (screenplay), Doug Richardson (screenplay);Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson;John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.;English, Spanish;USA;7.1;NULL;20th Century Fox
Child's Play 2;1990;R;84;Horror, Thriller;John Lafia;Don Mancini (characters), Don Mancini;Alex Vincent, Jenny Agutter, Gerrit Graham, Christine Elise;While Andy's mother is admitted to a psychiatric hospital, the young boy is placed in foster care, and Chucky, determined to claim Andy's soul, is not far behind.;English;USA;5.7;NULL;MCA Universal Home Video
Flatliners;1990;R;115;Drama, Horror, Sci-Fi;Joel Schumacher;Peter Filardi;Kiefer Sutherland, Julia Roberts, Kevin Bacon, William Baldwin;"Four Medical students experiment on """"near death"""" experiences that involve past tragedies until the dark consequences begin to jeopardize their lives.";English;USA;6.6;NULL;Sony Pictures Home Entertainment
The Adventures of Ford Fairlane;1990;R;104;Action, Adventure, Comedy;Renny Harlin;Daniel Waters (screenplay), James Cappe (screenplay), David Arnott (screenplay), James Cappe (story), David Arnott (story), Rex Weiner (characters);Andrew Dice Clay, Wayne Newton, Priscilla Presley, Morris Day;A vulgar private detective is hired to find a missing groupie and is drawn into a mystery involving a series of murders tied to the music industry.;English;USA;6.3;NULL;Twentieth Century Fox
Ghost;1990;PG-13;127;Drama, Fantasy, Romance;Jerry Zucker;Bruce Joel Rubin;Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn;After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.;English;USA;7.0;NULL;Paramount Pictures
Edward Scissorhands;1990;PG-13;105;Drama, Fantasy, Romance;Tim Burton;Tim Burton (story), Caroline Thompson (story), Caroline Thompson (screenplay);Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall;A gentle man, with scissors for hands, is brought into a new community after living in isolation.;English;USA;7.9;NULL;20th Century Fox
Gremlins 2: The New Batch;1990;PG-13;106;Comedy, Fantasy, Horror;Joe Dante;Chris Columbus (characters), Charles S. Haas;Zach Galligan, Phoebe Cates, John Glover, Robert Prosky;The Gremlins are back, and this time, they've taken total control over the building of a media mogul.;English;USA;6.3;NULL;Warner Home Video
Dick Tracy;1990;PG;105;Action, Comedy, Crime;Warren Beatty;Chester Gould (characters), Jim Cash, Jack Epps Jr.;Warren Beatty, Charlie Korsmo, Michael Donovan O'Donnell, Jim Wilkey;The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.;English;USA;6.1;NULL;Buena Vista Pictures
Agneepath;1990;NULL;174;Action, Crime, Drama;Mukul Anand;Kader Khan (dialogue), Santosh Saroj (screenplay), Santosh Saroj (story);Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari;A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?;Hindi;India;7.8;NULL;NULL
Home Alone;1990;PG;103;Comedy, Family;Chris Columbus;John Hughes;Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard;An eight-year-old trouble-maker must protect his home from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.;English;USA;7.5;NULL;Twentieth Century Fox
Arachnophobia;1990;PG-13;103;Comedy, Fantasy, Horror;Frank Marshall;Don Jakoby (story), Al Williams (story), Don Jakoby (screenplay), Wesley Strick (screenplay);Jeff Daniels, Harley Jane Kozak, John Goodman, Julian Sands;A species of South American killer spider hitches a lift to the U.S. in a coffin and starts to breed and kill.;English, Spanish;USA;6.4;NULL;Buena Vista Pictures
